formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness,error,,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace18_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace13_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace82_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace59_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace92_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace49_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace28_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace74_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace45_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace79_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace70_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace47_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace35_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace36_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace41_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace95_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace53_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace05_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace37_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace46_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace40_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace89_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace29_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace88_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace15_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace22_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace96_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace56_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace02_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace84_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace17_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace07_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace71_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace63_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace00_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace67_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace39_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace10_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace44_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace01_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace62_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace25_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace58_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace60_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace51_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace73_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace06_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace72_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace97_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace76_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace42_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace48_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace57_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace80_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace85_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace16_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace03_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace27_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace86_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace43_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace21_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace99_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace83_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace78_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace69_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace23_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace04_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace24_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace26_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace19_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace50_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace98_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace81_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace61_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace90_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace31_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace20_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace64_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace09_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace77_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace68_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace38_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace93_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace91_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace54_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace75_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace08_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace66_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace32_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace12_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace65_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace30_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace11_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace34_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace14_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace52_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace94_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace33_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace55_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace87_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
,,,,,,,,,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace18_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,AVERAGE,-17.4
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace13_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,WORST VIO,-19
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace82_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,AVG VIOL,-19
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace59_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,PASS,8
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace92_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[True],[1.0],,1,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace49_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace28_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace74_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace45_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[True],[1.0],,1,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace79_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace70_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace47_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace35_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace36_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace41_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace95_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace53_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace05_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
